"","x"
"CL0000192.668",24
"CL0000192.669",25
"CL0000192.670",25
"CL0000192.671",25
"CL0000192.672",25
"CL0000192.673",25
"CL0000192.674",25
"CL0000192.675",25
"CL0000192.676",24
"CL0000192.677",25
"CL0000192.678",24
"CL0000192.679",24
"CL0000192.680",25
"CL0000192.681",25
"CL0000192.682",25
"CL0000192.683",25
"CL0000192.684",25
"CL0000192.685",24
"CL0000192.686",24
"CL0000192.687",24
"CL0000192.688",25
"CL0000192.689",24
"CL0000192.690",25
"CL0000192.691",25
"CL0000192.692",25
"CL0000192.693",25
"CL0000192.694",24
"CL0000192.695",25
"CL0000192.696",25
"CL0000192.697",25
"CL0000192.698",25
"CL0000192.699",25
"CL0000192.700",25
"CL0000192.701",24
"CL0000192.702",25
"CL0000192.703",21
"CL0000192.704",25
"CL0000192.705",25
"CL0000192.706",25
"CL0000192.707",25
"CL0000192.708",25
"CL0000192.709",25
"CL0000192.710",25
"CL0000192.711",25
"CL0000192.712",25
"CL0000192.713",25
"CL0000192.714",24
"CL0000192.715",25
"CL0000192.716",25
"CL0000192.717",25
"CL0000192.718",24
"CL0000192.719",25
"CL0000192.720",24
"CL0000192.721",25
"CL0000192.722",25
"CL0000192.723",25
"CL0000192.724",25
"CL0000192.725",25
"CL0000192.726",25
"CL0000192.727",25
"CL0000192.728",25
"CL0000192.729",24
"CL0000192.730",25
"CL0000192.731",24
"CL0000192.732",25
"CL0000192.733",25
"CL0000192.734",25
"CL0000192.735",25
"CL0000192.736",25
"CL0000192.737",25
"CL0000192.738",25
"CL0000192.739",25
"CL0000192.740",25
"CL0000192.741",25
"CL0000192.742",25
"CL0000192.743",25
"CL0000192.744",25
"CL0000192.745",24
"CL0000192.746",25
"CL0000192.747",25
"CL0000192.748",25
"CL0000192.749",25
"CL0000192.750",25
"CL0000192.751",24
"CL0000192.752",24
"CL0000192.753",25
"CL0000192.754",25
"CL0000192.755",25
"CL0000192.756",25
"CL0000192.757",24
"CL0000192.758",25
"CL0000192.759",25
"CL0000192.760",25
"CL0000192.761",25
"CL0000192.762",25
"CL0000192.763",25
"CL0000192.764",25
"CL0000192.765",25
"CL0000192.766",24
"CL0000192.767",25
"CL0000192.768",25
"CL0000192.769",25
"CL0000192.770",24
"CL0000192.771",25
"CL0000192.772",24
"CL0000192.773",25
"CL0000192.774",25
"CL0000192.775",25
"CL0000192.776",24
"CL0000192.777",25
"CL0000192.778",24
"CL0000192.779",24
"CL0000192.780",25
"CL0000192.781",24
"CL0000192.782",25
"CL0000192.783",25
"CL0000192.784",25
"CL0000192.785",25
"CL0000192.786",25
"CL0000192.787",25
"CL0000192.788",25
"CL0000192.789",25
"CL0000192.790",24
"CL0000192.791",25
"CL0000192.792",25
"CL0000192.793",25
"CL0000192.794",25
"CL0000192.795",24
"CL0000192.796",25
"CL0000192.797",24
"CL0000192.798",24
"CL0000192.799",25
"CL0000192.800",25
"CL0000192.801",25
"CL0000192.802",24
"CL0000192.803",24
"CL0000192.804",25
"CL0000192.805",25
"CL0000192.806",25
"CL0000192.807",25
"CL0000192.808",25
"CL0000192.809",25
"CL0000192.810",24
"CL0000192.811",24
"CL0000192.812",24
"CL0000192.813",25
"CL0000192.814",25
"CL0000192.815",25
"CL0000192.816",25
"CL0000192.817",25
"CL0000192.818",25
"CL0000192.819",25
"CL0000192.820",25
"CL0000192.821",25
"CL0000192.822",24
"CL0000192.823",25
"CL0000192.824",24
"CL0000192.825",25
"CL0000192.826",25
"CL0000192.827",24
"CL0000192.828",25
"CL0000192.829",25
"CL0000192.830",24
"CL0000192.831",25
"CL0000192.832",25
"CL0000192.833",24
"CL0000192.834",25
"CL0000192.835",24
"CL0000192.836",25
"CL0000192.837",25
"CL0000192.838",24
"CL0000192.839",25
"CL0000192.840",24
"CL0000192.841",25
"CL0000192.842",25
"CL0000192.843",25
"CL0000192.844",25
"CL0000192.845",25
"CL0000192.846",25
"CL0000192.847",25
"CL0000192.848",21
"CL0000192.849",25
"CL0000192.850",25
"CL0000192.851",25
"CL0000192.852",25
"CL0000192.853",24
"CL0000192.854",25
"CL0000192.855",25
"CL0000192.856",25
"CL0000192.857",25
"CL0000192.858",25
"CL0000192.859",25
"CL0000192.860",25
"CL0000192.861",25
"CL0000192.862",25
"CL0000192.863",24
"CL0000192.864",25
"CL0000192.865",24
"CL0000192.866",25
"CL0000192.867",25
"CL0000192.868",25
"CL0000192.869",25
"CL0000192.870",25
"CL0000192.871",24
"CL0000192.872",25
