"","x"
"CL0000192.632",112
"CL0000192.633",106
"CL0000192.634",105
"CL0000192.635",100
"CL0000192.636",98
"CL0000192.637",106
"CL0000192.638",107
"CL0000192.639",106
"CL0000192.640",106
"CL0000192.641",98
"CL0000192.642",103
"CL0000192.643",99
"CL0000192.644",98
"CL0000192.645",99
"CL0000192.646",100
"CL0000192.647",106
"CL0000192.648",104
"CL0000192.649",98
"CL0000192.650",105
"CL0000192.651",98
"CL0000192.652",99
"CL0000192.653",101
"CL0000192.654",99
"CL0000192.655",107
"CL0000192.656",106
"CL0000192.657",103
"CL0000192.658",105
"CL0000192.659",99
"CL0000192.660",99
"CL0000192.661",99
"CL0000192.662",107
"CL0000192.663",105
"CL0000192.664",106
"CL0000192.665",106
"CL0000192.666",100
"CL0000192.667",107
"CL0000192.668",102
"CL0000192.669",109
"CL0000192.670",98
"CL0000192.671",99
"CL0000192.672",99
"CL0000192.673",106
"CL0000192.674",106
"CL0000192.675",108
"CL0000192.676",99
"CL0000192.677",100
"CL0000192.678",105
"CL0000192.679",108
"CL0000192.680",106
"CL0000192.681",106
"CL0000192.682",98
"CL0000192.683",99
"CL0000192.684",106
"CL0000192.685",105
"CL0000192.686",104
"CL0000192.687",105
"CL0000192.688",98
"CL0000192.689",102
"CL0000192.690",98
"CL0000192.691",107
"CL0000192.692",103
"CL0000192.693",103
"CL0000192.694",103
"CL0000192.695",99
"CL0000192.696",106
"CL0000192.697",98
"CL0000192.698",98
"CL0000192.699",106
"CL0000192.700",98
"CL0000192.701",102
"CL0000192.702",106
"CL0000192.703",116
"CL0000192.704",106
"CL0000192.705",99
"CL0000192.706",99
"CL0000192.707",98
"CL0000192.708",98
"CL0000192.709",100
"CL0000192.710",107
"CL0000192.711",106
"CL0000192.712",109
"CL0000192.713",107
"CL0000192.714",101
"CL0000192.715",98
"CL0000192.716",106
"CL0000192.717",100
"CL0000192.718",111
"CL0000192.719",98
"CL0000192.720",103
"CL0000192.721",107
"CL0000192.722",107
"CL0000192.723",107
"CL0000192.724",106
"CL0000192.725",99
"CL0000192.726",107
"CL0000192.727",106
"CL0000192.728",99
"CL0000192.729",103
"CL0000192.730",98
"CL0000192.731",102
"CL0000192.732",100
"CL0000192.733",106
"CL0000192.734",103
"CL0000192.735",110
"CL0000192.736",99
"CL0000192.737",98
"CL0000192.738",106
