"","x"
"CL0000192.440",89
"CL0000192.441",89
"CL0000192.442",84
"CL0000192.443",78
"CL0000192.444",89
"CL0000192.445",89
"CL0000192.446",78
"CL0000192.447",78
"CL0000192.448",78
"CL0000192.449",89
"CL0000192.450",79
"CL0000192.451",90
"CL0000192.452",78
"CL0000192.453",84
"CL0000192.454",79
"CL0000192.455",87
"CL0000192.456",89
"CL0000192.457",88
"CL0000192.458",83
"CL0000192.459",89
"CL0000192.460",89
"CL0000192.461",84
"CL0000192.462",89
"CL0000192.463",84
"CL0000192.464",89
"CL0000192.465",78
"CL0000192.466",82
"CL0000192.467",78
"CL0000192.468",78
"CL0000192.469",78
"CL0000192.470",86
"CL0000192.471",82
"CL0000192.472",90
"CL0000192.473",78
"CL0000192.474",78
"CL0000192.475",78
"CL0000192.476",84
"CL0000192.477",89
"CL0000192.478",78
"CL0000192.479",78
"CL0000192.480",79
"CL0000192.481",83
"CL0000192.482",86
"CL0000192.483",78
"CL0000192.484",89
"CL0000192.485",81
"CL0000192.486",82
"CL0000192.487",78
"CL0000192.488",79
"CL0000192.489",88
"CL0000192.490",78
"CL0000192.491",89
"CL0000192.492",89
"CL0000192.493",78
"CL0000192.494",89
"CL0000192.495",78
"CL0000192.496",78
"CL0000192.497",80
"CL0000192.498",78
"CL0000192.499",79
"CL0000192.500",82
"CL0000192.501",82
"CL0000192.502",89
"CL0000192.503",78
"CL0000192.504",89
"CL0000192.505",88
"CL0000192.506",82
"CL0000192.507",79
"CL0000192.508",79
"CL0000192.509",82
"CL0000192.510",89
"CL0000192.511",89
"CL0000192.512",78
"CL0000192.513",89
"CL0000192.514",84
"CL0000192.515",89
"CL0000192.516",80
"CL0000192.517",78
"CL0000192.518",80
"CL0000192.519",89
"CL0000192.520",82
"CL0000192.521",78
"CL0000192.522",78
"CL0000192.523",82
"CL0000192.524",80
"CL0000192.525",89
"CL0000192.526",89
"CL0000192.527",78
"CL0000192.528",88
"CL0000192.529",89
"CL0000192.530",84
"CL0000192.531",78
"CL0000192.532",88
"CL0000192.533",89
"CL0000192.534",86
"CL0000192.535",89
"CL0000192.536",87
"CL0000192.537",89
"CL0000192.538",89
"CL0000192.539",81
"CL0000192.540",84
"CL0000192.541",78
"CL0000192.542",89
"CL0000192.543",86
"CL0000192.544",86
"CL0000192.545",89
"CL0000192.546",79
"CL0000192.547",89
"CL0000192.548",89
"CL0000192.549",87
"CL0000192.550",87
"CL0000192.551",78
"CL0000192.552",78
"CL0000192.553",78
"CL0000192.554",78
"CL0000192.555",79
"CL0000192.556",87
"CL0000192.557",88
"CL0000192.558",80
"CL0000192.559",82
"CL0000192.560",79
"CL0000192.561",89
"CL0000192.562",78
"CL0000192.563",88
"CL0000192.564",82
"CL0000192.565",88
"CL0000192.566",87
"CL0000192.567",84
"CL0000192.568",89
"CL0000192.569",82
"CL0000192.570",78
"CL0000192.571",88
"CL0000192.572",79
"CL0000192.573",85
"CL0000192.574",84
"CL0000192.575",84
"CL0000192.576",80
"CL0000192.577",78
"CL0000192.578",84
"CL0000192.579",78
"CL0000192.580",90
"CL0000192.581",79
"CL0000192.582",78
"CL0000192.583",78
"CL0000192.584",78
"CL0000192.585",89
"CL0000192.586",78
"CL0000192.587",78
"CL0000192.588",89
"CL0000192.589",78
"CL0000192.590",89
"CL0000192.591",88
"CL0000192.592",90
"CL0000192.593",82
"CL0000192.594",84
"CL0000192.595",82
"CL0000192.596",88
"CL0000192.597",79
"CL0000192.598",78
"CL0000192.599",89
"CL0000192.600",78
"CL0000192.601",88
"CL0000192.602",88
"CL0000192.603",89
"CL0000192.604",79
"CL0000192.605",78
"CL0000192.606",89
"CL0000192.607",78
"CL0000192.608",78
"CL0000192.609",80
"CL0000192.610",89
"CL0000192.611",78
"CL0000192.612",82
"CL0000192.613",89
"CL0000192.614",89
"CL0000192.615",89
"CL0000192.616",78
"CL0000192.617",78
"CL0000192.618",82
"CL0000192.619",89
"CL0000192.620",86
"CL0000192.621",80
"CL0000192.622",78
"CL0000192.623",78
"CL0000192.624",78
"CL0000192.625",88
"CL0000192.626",81
"CL0000192.627",89
"CL0000192.628",89
"CL0000192.629",86
"CL0000192.630",78
"CL0000192.631",89
"CL0000192.632",80
"CL0000192.633",78
"CL0000192.634",85
"CL0000192.635",89
"CL0000192.636",89
"CL0000192.637",78
"CL0000192.638",79
"CL0000192.639",78
"CL0000192.640",78
"CL0000192.641",89
"CL0000192.642",87
"CL0000192.643",84
"CL0000192.644",79
"CL0000192.645",89
"CL0000192.646",88
"CL0000192.647",78
"CL0000192.648",85
"CL0000192.649",89
"CL0000192.650",84
"CL0000192.651",89
"CL0000192.652",89
"CL0000192.653",82
"CL0000192.654",89
"CL0000192.655",88
"CL0000192.656",78
"CL0000192.657",87
"CL0000192.658",84
"CL0000192.659",89
"CL0000192.660",89
"CL0000192.661",89
"CL0000192.662",79
"CL0000192.663",84
"CL0000192.664",78
"CL0000192.665",78
"CL0000192.666",88
"CL0000192.667",79
"CL0000192.668",82
"CL0000192.669",80
"CL0000192.670",89
"CL0000192.671",89
"CL0000192.672",89
"CL0000192.673",78
"CL0000192.674",78
"CL0000192.675",81
"CL0000192.676",84
"CL0000192.677",88
"CL0000192.678",85
"CL0000192.679",87
"CL0000192.680",78
"CL0000192.681",78
"CL0000192.682",78
"CL0000192.683",84
"CL0000192.684",78
"CL0000192.685",84
"CL0000192.686",84
"CL0000192.687",84
"CL0000192.688",78
"CL0000192.689",82
"CL0000192.690",78
"CL0000192.691",79
"CL0000192.692",87
"CL0000192.693",84
"CL0000192.694",87
"CL0000192.695",89
"CL0000192.696",78
"CL0000192.697",89
"CL0000192.698",79
"CL0000192.699",78
"CL0000192.700",89
"CL0000192.701",82
"CL0000192.702",78
"CL0000192.703",90
"CL0000192.704",78
"CL0000192.705",89
"CL0000192.706",89
"CL0000192.707",78
"CL0000192.708",79
"CL0000192.709",88
"CL0000192.710",79
"CL0000192.711",78
"CL0000192.712",80
"CL0000192.713",79
"CL0000192.714",83
"CL0000192.715",89
"CL0000192.716",78
"CL0000192.717",88
"CL0000192.718",85
"CL0000192.719",89
"CL0000192.720",87
"CL0000192.721",79
"CL0000192.722",79
"CL0000192.723",79
"CL0000192.724",78
"CL0000192.725",89
"CL0000192.726",79
"CL0000192.727",78
"CL0000192.728",89
"CL0000192.729",87
"CL0000192.730",89
"CL0000192.731",82
"CL0000192.732",88
"CL0000192.733",78
"CL0000192.734",87
"CL0000192.735",81
"CL0000192.736",89
"CL0000192.737",89
"CL0000192.738",78
"CL0000192.739",79
"CL0000192.740",84
"CL0000192.741",78
"CL0000192.742",89
"CL0000192.743",78
"CL0000192.744",78
"CL0000192.745",84
"CL0000192.746",79
"CL0000192.747",87
"CL0000192.748",84
"CL0000192.749",89
"CL0000192.750",80
"CL0000192.751",87
"CL0000192.752",84
"CL0000192.753",89
"CL0000192.754",89
"CL0000192.755",79
"CL0000192.756",87
"CL0000192.757",86
"CL0000192.758",87
"CL0000192.759",78
"CL0000192.760",78
"CL0000192.761",88
"CL0000192.762",89
"CL0000192.763",88
"CL0000192.764",79
"CL0000192.765",89
"CL0000192.766",84
"CL0000192.767",79
"CL0000192.768",78
"CL0000192.769",79
"CL0000192.770",84
"CL0000192.771",89
"CL0000192.772",87
"CL0000192.773",78
"CL0000192.774",88
"CL0000192.775",89
"CL0000192.776",87
"CL0000192.777",89
"CL0000192.778",82
"CL0000192.779",82
"CL0000192.780",80
"CL0000192.781",81
"CL0000192.782",89
"CL0000192.783",78
"CL0000192.784",79
"CL0000192.785",78
"CL0000192.786",78
"CL0000192.787",78
"CL0000192.788",89
"CL0000192.789",85
"CL0000192.790",84
"CL0000192.791",79
"CL0000192.792",87
"CL0000192.793",78
"CL0000192.794",88
"CL0000192.795",87
"CL0000192.796",78
"CL0000192.797",86
"CL0000192.798",82
"CL0000192.799",88
"CL0000192.800",89
"CL0000192.801",79
"CL0000192.802",81
"CL0000192.803",88
"CL0000192.804",78
"CL0000192.805",79
"CL0000192.806",89
"CL0000192.807",88
"CL0000192.808",89
"CL0000192.809",78
"CL0000192.810",87
"CL0000192.811",85
"CL0000192.812",84
"CL0000192.813",89
"CL0000192.814",89
"CL0000192.815",78
"CL0000192.816",89
"CL0000192.817",89
"CL0000192.818",79
"CL0000192.819",78
"CL0000192.820",80
"CL0000192.821",89
"CL0000192.822",85
"CL0000192.823",89
"CL0000192.824",87
"CL0000192.825",78
"CL0000192.826",79
"CL0000192.827",85
"CL0000192.828",89
"CL0000192.829",88
"CL0000192.830",84
"CL0000192.831",89
"CL0000192.832",89
"CL0000192.833",82
"CL0000192.834",78
"CL0000192.835",82
"CL0000192.836",78
"CL0000192.837",78
"CL0000192.838",87
"CL0000192.839",88
"CL0000192.840",84
"CL0000192.841",89
"CL0000192.842",79
"CL0000192.843",78
"CL0000192.844",87
"CL0000192.845",89
"CL0000192.846",89
"CL0000192.847",79
"CL0000192.848",90
"CL0000192.849",89
"CL0000192.850",89
"CL0000192.851",89
"CL0000192.852",87
"CL0000192.853",86
"CL0000192.854",79
"CL0000192.855",78
"CL0000192.856",88
"CL0000192.857",78
"CL0000192.858",89
"CL0000192.859",78
"CL0000192.860",78
"CL0000192.861",78
"CL0000192.862",88
"CL0000192.863",85
"CL0000192.864",89
"CL0000192.865",82
"CL0000192.866",87
"CL0000192.867",87
"CL0000192.868",89
"CL0000192.869",78
"CL0000192.870",89
"CL0000192.871",80
"CL0000192.872",88
"CL0000192.873",86
"CL0000192.874",89
"CL0000192.875",86
"CL0000192.876",79
"CL0000192.877",89
"CL0000192.878",84
"CL0000192.879",84
"CL0000192.880",85
"CL0000192.881",89
"CL0000192.882",79
"CL0000192.883",89
"CL0000192.884",85
"CL0000192.885",84
"CL0000192.886",82
"CL0000192.887",80
"CL0000192.888",79
"CL0000192.889",89
"CL0000192.890",89
"CL0000192.891",87
"CL0000192.892",84
"CL0000192.893",88
"CL0000192.894",78
"CL0000192.895",89
"CL0000192.896",86
"CL0000192.897",78
"CL0000192.898",84
"CL0000192.899",84
"CL0000192.900",89
"CL0000192.901",81
"CL0000192.902",82
"CL0000192.903",84
"CL0000192.904",90
"CL0000192.905",78
"CL0000192.906",88
"CL0000192.907",78
"CL0000192.908",88
"CL0000192.909",87
"CL0000192.910",81
"CL0000192.911",85
"CL0000192.912",89
"CL0000192.913",88
"CL0000192.914",79
"CL0000192.915",89
"CL0000192.916",88
"CL0000192.917",89
"CL0000192.918",78
"CL0000192.919",80
"CL0000192.920",85
"CL0000192.921",87
"CL0000192.922",76
"CL0000192.923",89
"CL0000192.924",89
"CL0000192.925",79
"CL0000192.926",79
"CL0000192.927",78
"CL0000192.928",89
"CL0000192.929",89
"CL0000192.930",89
"CL0000192.931",89
"CL0000192.932",78
"CL0000192.933",88
"CL0000192.934",79
"CL0000192.935",89
"CL0000192.936",84
"CL0000192.937",84
"CL0000192.938",84
"CL0000192.939",85
"CL0000192.940",84
"CL0000192.941",78
"CL0000192.942",88
"CL0000192.943",78
"CL0000192.944",79
"CL0000192.945",89
"CL0000192.946",89
"CL0000192.947",89
"CL0000192.948",89
"CL0000192.949",89
"CL0000192.950",88
"CL0000192.951",89
"CL0000192.952",89
"CL0000192.953",78
"CL0000192.954",89
"CL0000192.955",84
"CL0000192.956",88
"CL0000192.957",81
"CL0000192.958",88
"CL0000192.959",90
"CL0000192.960",78
"CL0000192.961",88
"CL0000192.962",88
"CL0000192.963",89
"CL0000192.964",89
"CL0000192.965",78
"CL0000192.966",89
"CL0000192.967",88
"CL0000192.968",81
"CL0000192.969",88
"CL0000192.970",84
"CL0000192.971",89
"CL0000192.972",89
"CL0000192.973",79
"CL0000192.974",89
"CL0000192.975",89
"CL0000192.976",84
"CL0000192.977",83
"CL0000192.978",80
"CL0000192.979",89
"CL0000192.980",78
"CL0000192.981",78
"CL0000192.982",78
"CL0000192.983",84
"CL0000192.984",89
"CL0000192.985",78
"CL0000192.986",78
"CL0000192.987",87
"CL0000192.988",78
"CL0000192.989",85
"CL0000192.990",78
"CL0000192.991",78
"CL0000192.992",89
"CL0000192.993",78
"CL0000192.994",89
"CL0000192.995",89
"CL0000192.996",85
"CL0000192.997",89
"CL0000192.998",80
"CL0000192.999",90
"CL0000192.1000",78
"CL0000192.1001",82
"CL0000192.1002",90
"CL0000192.1003",89
"CL0000192.1004",89
"CL0000192.1005",87
"CL0000192.1006",89
"CL0000192.1007",79
"CL0000192.1008",89
"CL0000192.1009",78
"CL0000192.1010",89
"CL0000192.1011",79
"CL0000192.1012",78
"CL0000192.1013",89
"CL0000192.1014",82
"CL0000192.1015",79
"CL0000192.1016",78
"CL0000192.1017",79
"CL0000192.1018",82
"CL0000192.1019",90
"CL0000192.1020",79
"CL0000192.1021",78
"CL0000192.1022",89
"CL0000192.1023",80
"CL0000192.1024",78
"CL0000192.1025",89
"CL0000192.1026",88
"CL0000192.1027",88
"CL0000192.1028",84
"CL0000192.1029",88
"CL0000192.1030",88
"CL0000192.1031",79
"CL0000192.1032",78
"CL0000192.1033",89
"CL0000192.1034",88
"CL0000192.1035",81
"CL0000192.1036",89
"CL0000192.1037",78
"CL0000192.1038",84
"CL0000192.1039",82
"CL0000192.1040",84
"CL0000192.1041",87
"CL0000192.1042",79
"CL0000192.1043",79
"CL0000192.1044",85
"CL0000192.1045",87
"CL0000192.1046",88
"CL0000192.1047",79
"CL0000192.1048",78
"CL0000192.1049",78
"CL0000192.1050",89
"CL0000192.1051",89
"CL0000192.1052",81
"CL0000192.1053",89
"CL0000192.1054",87
"CL0000192.1055",89
"CL0000192.1056",88
"CL0000192.1057",88
"CL0000192.1058",90
"CL0000192.1059",90
"CL0000192.1060",89
"CL0000192.1061",89
"CL0000192.1062",86
"CL0000192.1063",85
"CL0000192.1064",81
"CL0000192.1065",78
"CL0000192.1066",89
"CL0000192.1067",89
"CL0000192.1068",80
"CL0000192.1069",89
"CL0000192.1070",78
"CL0000192.1071",89
"CL0000192.1072",89
"CL0000192.1073",78
"CL0000192.1074",85
"CL0000192.1075",84
"CL0000192.1076",88
"CL0000192.1077",78
"CL0000192.1078",88
"CL0000192.1079",79
"CL0000192.1080",89
"CL0000192.1081",78
"CL0000192.1082",79
"CL0000192.1083",89
"CL0000192.1084",81
"CL0000192.1085",82
"CL0000192.1086",89
"CL0000192.1087",84
"CL0000192.1088",82
